numeroConcursante,anio,nombre,dni,fechaPresentacion,temaPresentacion,puntajePrimeraRonda
1,2004,Blondell,33364667,4/6/2020,last tren to london,69
2,2008,Andonis,30320594,1/16/2020,mamamia,98
3,1994,german,66604843,10/31/2020,the beat,99
4,1986,Tony,9004679,2/28/2020,espadas y serpientes,46
5,1996,Brice,24548341,3/29/2020,kilometro 11,60
6,1990,Sophronia,11701790,10/16/2020,susie q,71
7,2001,octavio,21737666,2/28/2020,rain men,1
8,2006,Arliene,9304133,12/21/2019,rolling deep,74
9,1993,Ranique,11625609,3/22/2020,Taxidermia,57
10,1993,mauricio,66677802,10/22/2020,you are dead,99
